Name,Level,Type,Stats,Move Pool
bulbasaur,50,"['grass', 'poison']","{'hp': 45, 'attack': 49, 'defense': 49, 'special-attack': 65, 'special-defense': 65, 'speed': 45}","{'cut': {'accuracy': 95, 'power': 50, 'pp': 30, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'vine-whip': {'accuracy': 100, 'power': 45, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'grass'}, 'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-drain': {'accuracy': 100, 'power': 40, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'grass'}, 'razor-leaf': {'accuracy': 95, 'power': 55, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'grass'}, 'solar-beam': {'accuracy': 100, 'power': 120, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'grass'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}}"
ivysaur,50,"['grass', 'poison']","{'hp': 60, 'attack': 62, 'defense': 63, 'special-attack': 80, 'special-defense': 80, 'speed': 60}","{'cut': {'accuracy': 95, 'power': 50, 'pp': 30, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'vine-whip': {'accuracy': 100, 'power': 45, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'grass'}, 'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-drain': {'accuracy': 100, 'power': 40, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'grass'}, 'razor-leaf': {'accuracy': 95, 'power': 55, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'grass'}, 'solar-beam': {'accuracy': 100, 'power': 120, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'grass'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}}"
venusaur,50,"['grass', 'poison']","{'hp': 80, 'attack': 82, 'defense': 83, 'special-attack': 100, 'special-defense': 100, 'speed': 80}","{'cut': {'accuracy': 95, 'power': 50, 'pp': 30, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'vine-whip': {'accuracy': 100, 'power': 45, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'grass'}, 'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'hyper-beam': {'accuracy': 90, 'power': 150, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'normal'}, 'mega-drain': {'accuracy': 100, 'power': 40, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'grass'}, 'razor-leaf': {'accuracy': 95, 'power': 55, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'grass'}, 'solar-beam': {'accuracy': 100, 'power': 120, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'grass'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}}"
charmander,50,['fire'],"{'hp': 39, 'attack': 52, 'defense': 43, 'special-attack': 60, 'special-defense': 50, 'speed': 65}","{'mega-punch': {'accuracy': 85, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'scratch': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'cut': {'accuracy': 95, 'power': 50, 'pp': 30, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-kick': {'accuracy': 75, 'power': 120, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'ember': {'accuracy': 100, 'power': 40, 'pp': 25, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'flamethrower': {'accuracy': 100, 'power': 90, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'submission': {'accuracy': 80, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'counter': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': -5, 'damage_class': 'physical', 'type': 'fighting'}, 'seismic-toss': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'strength': {'accuracy': 100, 'power': 80, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'dragon-rage': {'accuracy': 100, 'power': None, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'dragon'}, 'fire-spin': {'accuracy': 85, 'power': 35, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'dig': {'accuracy': 100, 'power': 80, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}, 'fire-blast': {'accuracy': 85, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'swift': {'accuracy': None, 'power': 60, 'pp': 20, 'priority': 0, 'damage_class': 'special', 'type': 'normal'}, 'skull-bash': {'accuracy': 100, 'power': 130, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'slash': {'accuracy': 100, 'power': 70, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}}"
charmeleon,50,['fire'],"{'hp': 58, 'attack': 64, 'defense': 58, 'special-attack': 80, 'special-defense': 65, 'speed': 80}","{'mega-punch': {'accuracy': 85, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'scratch': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'cut': {'accuracy': 95, 'power': 50, 'pp': 30, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-kick': {'accuracy': 75, 'power': 120, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'ember': {'accuracy': 100, 'power': 40, 'pp': 25, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'flamethrower': {'accuracy': 100, 'power': 90, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'submission': {'accuracy': 80, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'counter': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': -5, 'damage_class': 'physical', 'type': 'fighting'}, 'seismic-toss': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'strength': {'accuracy': 100, 'power': 80, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'dragon-rage': {'accuracy': 100, 'power': None, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'dragon'}, 'dig': {'accuracy': 100, 'power': 80, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}, 'fire-blast': {'accuracy': 85, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'swift': {'accuracy': None, 'power': 60, 'pp': 20, 'priority': 0, 'damage_class': 'special', 'type': 'normal'}, 'skull-bash': {'accuracy': 100, 'power': 130, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'slash': {'accuracy': 100, 'power': 70, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}}"
charizard,50,"['fire', 'flying']","{'hp': 78, 'attack': 84, 'defense': 78, 'special-attack': 109, 'special-defense': 85, 'speed': 100}","{'mega-punch': {'accuracy': 85, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'scratch': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'cut': {'accuracy': 95, 'power': 50, 'pp': 30, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-kick': {'accuracy': 75, 'power': 120, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'ember': {'accuracy': 100, 'power': 40, 'pp': 25, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'flamethrower': {'accuracy': 100, 'power': 90, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'hyper-beam': {'accuracy': 90, 'power': 150, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'normal'}, 'submission': {'accuracy': 80, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'counter': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': -5, 'damage_class': 'physical', 'type': 'fighting'}, 'seismic-toss': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'strength': {'accuracy': 100, 'power': 80, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'dragon-rage': {'accuracy': 100, 'power': None, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'dragon'}, 'earthquake': {'accuracy': 100, 'power': 100, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'fissure': {'accuracy': 30, 'power': None, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'dig': {'accuracy': 100, 'power': 80, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}, 'fire-blast': {'accuracy': 85, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'fire'}, 'swift': {'accuracy': None, 'power': 60, 'pp': 20, 'priority': 0, 'damage_class': 'special', 'type': 'normal'}, 'skull-bash': {'accuracy': 100, 'power': 130, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'slash': {'accuracy': 100, 'power': 70, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}}"
squirtle,50,['water'],"{'hp': 44, 'attack': 48, 'defense': 65, 'special-attack': 50, 'special-defense': 64, 'speed': 43}","{'mega-punch': {'accuracy': 85, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-kick': {'accuracy': 75, 'power': 120, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bite': {'accuracy': 100, 'power': 60, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'dark'}, 'water-gun': {'accuracy': 100, 'power': 40, 'pp': 25, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'hydro-pump': {'accuracy': 80, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'surf': {'accuracy': 100, 'power': 90, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'ice-beam': {'accuracy': 100, 'power': 90, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'ice'}, 'blizzard': {'accuracy': 70, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'ice'}, 'bubble-beam': {'accuracy': 100, 'power': 65, 'pp': 20, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'submission': {'accuracy': 80, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'counter': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': -5, 'damage_class': 'physical', 'type': 'fighting'}, 'seismic-toss': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'strength': {'accuracy': 100, 'power': 80, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'dig': {'accuracy': 100, 'power': 80, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}, 'skull-bash': {'accuracy': 100, 'power': 130, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bubble': {'accuracy': 100, 'power': 40, 'pp': 30, 'priority': 0, 'damage_class': 'special', 'type': 'water'}}"
wartortle,50,['water'],"{'hp': 59, 'attack': 63, 'defense': 80, 'special-attack': 65, 'special-defense': 80, 'speed': 58}","{'mega-punch': {'accuracy': 85, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-kick': {'accuracy': 75, 'power': 120, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bite': {'accuracy': 100, 'power': 60, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'dark'}, 'water-gun': {'accuracy': 100, 'power': 40, 'pp': 25, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'hydro-pump': {'accuracy': 80, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'surf': {'accuracy': 100, 'power': 90, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'ice-beam': {'accuracy': 100, 'power': 90, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'ice'}, 'blizzard': {'accuracy': 70, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'ice'}, 'bubble-beam': {'accuracy': 100, 'power': 65, 'pp': 20, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'submission': {'accuracy': 80, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'counter': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': -5, 'damage_class': 'physical', 'type': 'fighting'}, 'seismic-toss': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'strength': {'accuracy': 100, 'power': 80, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'dig': {'accuracy': 100, 'power': 80, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}, 'skull-bash': {'accuracy': 100, 'power': 130, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bubble': {'accuracy': 100, 'power': 40, 'pp': 30, 'priority': 0, 'damage_class': 'special', 'type': 'water'}}"
blastoise,50,['water'],"{'hp': 79, 'attack': 83, 'defense': 100, 'special-attack': 85, 'special-defense': 105, 'speed': 78}","{'mega-punch': {'accuracy': 85, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'mega-kick': {'accuracy': 75, 'power': 120, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'body-slam': {'accuracy': 100, 'power': 85, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'take-down': {'accuracy': 85, 'power': 90, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'double-edge': {'accuracy': 100, 'power': 120, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bite': {'accuracy': 100, 'power': 60, 'pp': 25, 'priority': 0, 'damage_class': 'physical', 'type': 'dark'}, 'water-gun': {'accuracy': 100, 'power': 40, 'pp': 25, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'surf': {'accuracy': 100, 'power': 90, 'pp': 15, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'ice-beam': {'accuracy': 100, 'power': 90, 'pp': 10, 'priority': 0, 'damage_class': 'special', 'type': 'ice'}, 'blizzard': {'accuracy': 70, 'power': 110, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'ice'}, 'bubble-beam': {'accuracy': 100, 'power': 65, 'pp': 20, 'priority': 0, 'damage_class': 'special', 'type': 'water'}, 'hyper-beam': {'accuracy': 90, 'power': 150, 'pp': 5, 'priority': 0, 'damage_class': 'special', 'type': 'normal'}, 'submission': {'accuracy': 80, 'power': 80, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'counter': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': -5, 'damage_class': 'physical', 'type': 'fighting'}, 'seismic-toss': {'accuracy': 100, 'power': None, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'fighting'}, 'strength': {'accuracy': 100, 'power': 80, 'pp': 15, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'earthquake': {'accuracy': 100, 'power': 100, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'fissure': {'accuracy': 30, 'power': None, 'pp': 5, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'dig': {'accuracy': 100, 'power': 80, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'ground'}, 'rage': {'accuracy': 100, 'power': 20, 'pp': 20, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bide': {'accuracy': None, 'power': None, 'pp': 10, 'priority': 1, 'damage_class': 'physical', 'type': 'normal'}, 'skull-bash': {'accuracy': 100, 'power': 130, 'pp': 10, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}, 'bubble': {'accuracy': 100, 'power': 40, 'pp': 30, 'priority': 0, 'damage_class': 'special', 'type': 'water'}}"
caterpie,50,['bug'],"{'hp': 45, 'attack': 30, 'defense': 35, 'special-attack': 20, 'special-defense': 20, 'speed': 45}","{'tackle': {'accuracy': 100, 'power': 40, 'pp': 35, 'priority': 0, 'damage_class': 'physical', 'type': 'normal'}}"
